#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",9,10,True
2,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",8,10,True
3,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",7,10,True
4,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",6,10,True
5,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",5,10,True
6,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",4,10,True
7,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",3,10,True
8,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",2,10,True
9,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",1,10,True
10,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",10,10,True
11,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",9,10,True
12,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",8,10,True
13,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",7,10,True
14,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",6,10,True
15,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",5,10,True
16,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",4,10,True
17,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",3,10,True
18,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",2,10,True
19,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",1,10,True
20,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",10,10,True
21,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",9,10,True
22,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",8,10,True
23,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",7,10,True
24,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",6,10,True
25,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",5,10,True
26,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",4,10,True
27,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",3,10,True
28,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",2,10,True
29,"[3, 2, 2]",0,-1,0,-1,0,-1,,0.1,,wait,"[3, 2, 2]",1,10,True
30,"[3, 2, 2]",,,,,,,,0.1,,death_by_robot,"[3, 2, 2]",1,10,False
