#,Pos,Orientacion,Energometro,Lado1_Top,Lado2_Left,Vacuoscopio_Front,Lado0_Front,Roboscanner_Front,Lado3_Right,Lado4_Down,Regla,Nueva_Accion,Accion_Memoria,Usa_Memoria?,Usa_Regla?
1,"[1,1,1]","[0,0,1]",0,0,0,0,0,0,0,0,2,"{""tipo"": ""move"", ""directions"": [""z+90""]}",,0,1
2,"[1,1,2]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
3,"[1,1,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
