#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",9,10,True
2,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",8,10,True
3,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",7,10,True
4,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",6,10,True
5,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",5,10,True
6,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",4,10,True
7,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",3,10,True
8,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",2,10,True
9,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",1,10,True
10,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",10,10,True
11,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",9,10,True
12,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",8,10,True
13,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",7,10,True
14,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",6,10,True
15,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",5,10,True
16,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",4,10,True
17,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",3,10,True
18,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",2,10,True
19,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",1,10,True
20,"[3, 1, 1]",0,0,0,-1,-1,-1,,0.1,,wait,"[3, 1, 1]",10,10,True
21,"[3, 1, 1]",,,,,,,,0.1,,death_by_robot,"[3, 1, 1]",10,10,False
