#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",9,10,True
2,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",8,10,True
3,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",7,10,True
4,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",6,10,True
5,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",5,10,True
6,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",4,10,True
7,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",3,10,True
8,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",2,10,True
9,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",1,10,True
10,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",10,10,True
11,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",9,10,True
12,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",8,10,True
13,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",7,10,True
14,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",6,10,True
15,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",5,10,True
16,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",4,10,True
17,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",3,10,True
18,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",2,10,True
19,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",1,10,True
20,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",10,10,True
21,"[1, 3, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 3, 1]",9,10,True
22,"[1, 3, 1]",,,,,,,,0.1,,death_by_robot,"[1, 3, 1]",9,10,False
