#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[1, 3, 3]",-1,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 3]",4,5,True
2,"[1, 3, 3]",-1,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 3]",3,5,True
3,"[1, 3, 3]",-1,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 3]",2,5,True
4,"[1, 3, 3]",-1,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 3]",1,5,True
5,"[1, 3, 3]",-1,-1,-1,0,0,0,,0.2,23,"Mover aleatorio entre [Right, Down, Behind]","[1, 3, 2]",5,5,True
6,"[1, 3, 2]",0,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 2]",4,5,True
7,"[1, 3, 2]",0,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 2]",3,5,True
8,"[1, 3, 2]",0,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 2]",2,5,True
9,"[1, 3, 2]",0,-1,-1,0,0,0,,0.2,,wait,"[1, 3, 2]",1,5,True
10,"[1, 3, 2]",,,,,,,,0.2,,death_by_robot,"[1, 3, 2]",1,5,False
