#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",4,5,True
2,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",3,5,True
3,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",2,5,True
4,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",1,5,True
5,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",5,5,True
6,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",4,5,True
7,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",3,5,True
8,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",2,5,True
9,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",1,5,True
10,"[1, 2, 1]",0,-1,0,0,-1,0,,0.2,,wait,"[1, 2, 1]",5,5,True
